locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBNEHJNM_00001	CDS	1341	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
MBNEHJNM_00002	CDS	1137	dnaN		COG0592	Beta sliding clamp
MBNEHJNM_00003	CDS	216				hypothetical protein
MBNEHJNM_00004	CDS	1113	recF		COG1195	DNA replication and repair protein RecF
MBNEHJNM_00005	CDS	246				hypothetical protein
MBNEHJNM_00006	CDS	1923	gyrB	5.99.1.3	COG0187	DNA gyrase subunit B
MBNEHJNM_00007	CDS	2460	gyrA	5.99.1.3	COG0188	DNA gyrase subunit A
MBNEHJNM_00008	rRNA	1547				16S ribosomal RNA
MBNEHJNM_00009	rRNA	2926				23S ribosomal RNA
MBNEHJNM_00010	rRNA	111				5S ribosomal RNA
MBNEHJNM_00011	CDS	990				hypothetical protein
MBNEHJNM_00012	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
MBNEHJNM_00013	CDS	1332	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
MBNEHJNM_00014	CDS	885	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
MBNEHJNM_00015	CDS	591	pdxT	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
MBNEHJNM_00016	CDS	1278	serS	6.1.1.11	COG0172	Serine--tRNA ligase
MBNEHJNM_00017	CDS	1146	garK	2.7.1.165	COG1929	Glycerate 2-kinase
MBNEHJNM_00018	tRNA	93				tRNA-Ser(tga)
MBNEHJNM_00019	CDS	654	dck	2.7.1.74	COG1428	Deoxyadenosine/deoxycytidine kinase
MBNEHJNM_00020	CDS	624	dgk	2.7.1.113	COG1428	Deoxyguanosine kinase
MBNEHJNM_00021	CDS	1281	yaaH		COG3858	Spore germination protein YaaH
MBNEHJNM_00022	CDS	552	entB	6.3.2.14	COG1535	Enterobactin synthase component B
MBNEHJNM_00023	CDS	483	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
MBNEHJNM_00024	CDS	1692	dnaX_1	2.7.7.7	COG2812	DNA polymerase III subunit tau
MBNEHJNM_00025	CDS	324			COG0718	Nucleoid-associated protein
MBNEHJNM_00026	CDS	597	recR		COG0353	Recombination protein RecR
MBNEHJNM_00027	CDS	225				hypothetical protein
MBNEHJNM_00028	CDS	264	bofA			Sigma-K factor-processing regulatory protein BofA
MBNEHJNM_00029	rRNA	1547				16S ribosomal RNA
MBNEHJNM_00030	rRNA	2928				23S ribosomal RNA
MBNEHJNM_00031	rRNA	111				5S ribosomal RNA
MBNEHJNM_00032	CDS	195	csfB			Anti-sigma-G factor Gin
MBNEHJNM_00033	CDS	615				hypothetical protein
MBNEHJNM_00034	CDS	1119				TelA-like protein
MBNEHJNM_00035	CDS	1434	speA_1	4.1.1.19	COG1982	Arginine decarboxylase
MBNEHJNM_00036	CDS	639	tmk	2.7.4.9	COG0125	Thymidylate kinase
MBNEHJNM_00037	CDS	330	yaaQ		COG3870	putative protein YaaQ
MBNEHJNM_00038	CDS	441				hypothetical protein
MBNEHJNM_00039	CDS	990	dnaX_2	2.7.7.7	COG2812	DNA polymerase III subunit gamma/tau
MBNEHJNM_00040	CDS	828				hypothetical protein
MBNEHJNM_00041	CDS	360	yabA		COG4467	Initiation-control protein YabA
MBNEHJNM_00042	CDS	744	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
MBNEHJNM_00043	CDS	300				hypothetical protein
MBNEHJNM_00044	CDS	882	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
MBNEHJNM_00045	CDS	285	abrB		COG2002	Transition state regulatory protein AbrB
MBNEHJNM_00046	CDS	1992	metG	6.1.1.10		Methionine--tRNA ligase
MBNEHJNM_00047	CDS	768	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
MBNEHJNM_00048	CDS	1362	yocH_1		COG1388	Cell wall-binding protein YocH
MBNEHJNM_00049	CDS	564	rnmV_1	3.1.26.8	COG1658	Ribonuclease M5
MBNEHJNM_00050	CDS	882	rsmA_1	2.1.1.182		Ribosomal RNA small subunit methyltransferase A
MBNEHJNM_00051	CDS	876	yabG	3.4.-.-		Sporulation-specific protease YabG
MBNEHJNM_00052	CDS	261	veg		COG4466	Protein Veg
MBNEHJNM_00053	CDS	189				hypothetical protein
MBNEHJNM_00054	CDS	870	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
MBNEHJNM_00055	CDS	858	purR		COG0503	Pur operon repressor
MBNEHJNM_00056	CDS	381	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
MBNEHJNM_00057	CDS	294	spoVG		COG2088	Putative septation protein SpoVG
MBNEHJNM_00058	CDS	1371	glmU			Bifunctional protein GlmU
MBNEHJNM_00059	CDS	954	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
MBNEHJNM_00060	CDS	609	ctc		COG1825	General stress protein CTC
MBNEHJNM_00061	CDS	567	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
MBNEHJNM_00062	CDS	231	fin			Anti-sigma-F factor Fin
MBNEHJNM_00063	CDS	3534	mfd	3.6.4.-		Transcription-repair-coupling factor
MBNEHJNM_00064	CDS	537	spoVT		COG2002	Stage V sporulation protein T
MBNEHJNM_00065	CDS	1581	murJ_1		COG2244	Lipid II flippase MurJ
MBNEHJNM_00066	CDS	1476	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
MBNEHJNM_00067	CDS	261			COG1188	putative protein
MBNEHJNM_00068	CDS	303	yabP			Spore protein YabP
MBNEHJNM_00069	CDS	636	yabQ			Spore protein YabQ
MBNEHJNM_00070	CDS	378	divIC		COG2919	Cell division protein DivIC
MBNEHJNM_00071	CDS	387	yugI_1		COG1098	General stress protein 13
MBNEHJNM_00072	tRNA	77				tRNA-Met(cat)
MBNEHJNM_00073	tRNA	75				tRNA-Glu(ttc)
MBNEHJNM_00074	CDS	2490	spoIIE	3.1.3.16	COG2208	Stage II sporulation protein E
MBNEHJNM_00075	CDS	738				hypothetical protein
MBNEHJNM_00076	CDS	1002	yabT	2.7.11.1	COG0515	putative serine/threonine-protein kinase YabT
MBNEHJNM_00077	CDS	1419	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
MBNEHJNM_00078	CDS	540	hpt	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
MBNEHJNM_00079	CDS	1920	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
MBNEHJNM_00080	CDS	741	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
MBNEHJNM_00081	CDS	876	hslO		COG1281	33 kDa chaperonin
MBNEHJNM_00082	CDS	891	prsA2	5.2.1.8	COG0760	Foldase protein PrsA 2
MBNEHJNM_00083	CDS	927	cysK_1	2.5.1.47	COG0031	Cysteine synthase
MBNEHJNM_00084	CDS	1416	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
MBNEHJNM_00085	CDS	588	pabA	2.6.1.85	COG0512	Aminodeoxychorismate/anthranilate synthase component 2
MBNEHJNM_00086	CDS	885	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
MBNEHJNM_00087	CDS	858	folP	2.5.1.15		Dihydropteroate synthase
MBNEHJNM_00088	CDS	363	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
MBNEHJNM_00089	CDS	504	sulD		COG0801	Bifunctional folate synthesis protein
MBNEHJNM_00090	CDS	210				hypothetical protein
MBNEHJNM_00091	CDS	1002	dus_1	1.3.1.-	COG0042	putative tRNA-dihydrouridine synthase
MBNEHJNM_00092	CDS	1500	lysS	6.1.1.6		Lysine--tRNA ligase
MBNEHJNM_00093	rRNA	1547				16S ribosomal RNA
MBNEHJNM_00094	rRNA	2926				23S ribosomal RNA
MBNEHJNM_00095	rRNA	111				5S ribosomal RNA
MBNEHJNM_00096	tRNA	76				tRNA-Val(tac)
MBNEHJNM_00097	tRNA	76				tRNA-Thr(tgt)
MBNEHJNM_00098	tRNA	76				tRNA-Lys(ttt)
MBNEHJNM_00099	tRNA	82				tRNA-Leu(tag)
MBNEHJNM_00100	tRNA	75				tRNA-Gly(gcc)
MBNEHJNM_00101	tRNA	86				tRNA-Leu(taa)
MBNEHJNM_00102	tRNA	77				tRNA-Arg(acg)
MBNEHJNM_00103	tRNA	77				tRNA-Pro(tgg)
MBNEHJNM_00104	tRNA	76				tRNA-Ala(tgc)
MBNEHJNM_00105	rRNA	1547				16S ribosomal RNA
MBNEHJNM_00106	rRNA	2926				23S ribosomal RNA
MBNEHJNM_00107	rRNA	111				5S ribosomal RNA
